Runyoro,English
edible mushroom,Akatuzi
hiccup,Akaisikondo
little peasant,Kairu
"witness,sponsor",Kaiso
comer,Kwija
"to strike,heat severely",Kaita
a fluffy grass,Kaitandara
a thorny creeper,Kaitango
sacred spear,Kaitantaahi
to take off shoes,Kuramu ekaito
"giddiness, dizziness",Kaizengeerro
"giddiness, dizziness",Kaizigoolezo
King's throne,Mukama w'engoma
"excitement, commotion",Kajagaarro
"love of visiting, roaming",Kajaiko
"small cat, kitten",Kajangu
"restlessness, bad behaviour",Kajanja
a small cent,Kajegejege
"hut, small house",Kaju
"grain,pill, tabloid",Kajuma
to force,Kaka
a million,Kakaikuru
skin disease like scabies,Kakamba
"restlessness, sharpness, excitement",Kakangazo
force in,Kakatika
little king/ruler,Kakama
I almost beat her,Kake muteere
sieve,Kakekeeyo
"an clement, dissatisfaction",Kakekere
side of a hill,Kakiizi
chicken,Kakoko
ankle,Kakongoijo
"consumption, tuberculosis, phthisis",Kakonko
small calabash cup,Kakooba
weasel,Kakorwa
a red bead,Kakuba
ten thousand,Kakumi
to force open,Kakura
prominent cheek bone,Kakurababi
"pulsation, throb",Kakurasira
"angle, comer",Kakuuma
seed of the plant,Kakuurra
a thorny creeper,Kakwatango
hearty laughter,Kakwazo
"pencil, pea",Kajaamu
small bowl for vegetables,Kaleba
"colossal, huge",Kaleeba
tiny packet,Kajegete
chin,Kaleju
lent,Kalema
thin leg,Kalenge
a well-known thief,Kalibusuma
type of onion (garlic),Kalicumu
hunchback,Kaliibbango
little bead,Kakwanzi
lemon grass,Kalifuuha
"fierce fight, fierce competition",Kaliitango
"little tongue, nib,curse, abuse",Kalimi
avocado,Kalipeera
eucalyptus tree,Kalituusi
to milk,Kama
"sign, notice",Kamanyiso
"disturbance, upset, confusion",Kambayaaya
"brook, rivulet",Kambu
"to cut sharply, rip,slice",Kambura
"noise, up-roar, commotion",Kamburumburu
"rabbit, hare",Kame
trigger,Kamina
one who is acomplished,Kamara
"blemish, spot; vice",Kamogo
Whydah finch (bird species),Kamutegengere
"to squeeze out, wring",Kamuura
stinging nettle,Kamyakengeye
"small pot, washing bowl",Kanaabiro
"giddleness, fall (from illness)",Kanago
"pepper, chillies",Kamurali
Royal drum,Kananura
tongue- tie (infants),Kanata
dark blue cotton cloth,Kaneke
cheek bone,Kanenero
to prick up ears,Kangaraza
to die very suddenly,Kanguka
"difficulty in breathing, choking",Kanigo
"a little bull;grudge, grievance",Kanimi
"church, chapel",Kanisa
"to form, set (plantains)",Kankabura
"to compel, force",Kankanika
"to scare, frighten",Kankaniza
species of termites,Kankoohoobo
nibble,Kansumansuma
"to kill suddenly,kill off",Kanura
mouth,Kanwa
Little sister,Kanyaanya
variety of edible mushroom,Kanyaijungiro
heavy weight (slang!),Kanyama
ankle,Kanyamagita
tortoise,Kanyamankogoto
imaginary bogey,Kanyamanswale
variety of mushroom,Kanyambaara
"small swelling, boil",Kanyambwa
plant with orange flowers,Kanyamufundo
"tumult, uproar",Kanyamuryaine
wagtail,Kanyamunya
ground-squirrel,Kanyamutere
variety of mushroom,Ebika by'obutuzi
whistle through closed hands,Kanyangaro
clematis,Kanyankamba
grass like couch grass,Kanyankokora
small white mushroom,Kanyansoro
side ways,Kanyarubaju
brownish- coloured sail,Kanyenya
"crease, fold (in skin)",Kanyigitiro
small chicken,Kanyonge
little bird,Kanyonyi
this one,Kanu
jolly-good fellow,Kapaapa
chatterbox,Kapaipya
"hurry,flurry, restlessness, curiosity",Kapapiro
chameleon,Kapimpina
early,Kara
dry and harden,Karaakara
"curse, misfortune",Karaako
to be thirsty (cattle),Kwakwakwa
"to hustle, flurry, fluster",Karabana
mustard (tree),Karadaa
to die suddenly,Karaga
"crumb, fragment",Karagalika
to kill instantly,Karagya
scarlet cloth,Katarra
"chronic illness, etc",Karandabaro
perineum (male),Karandira
strip ground,Karandirizo
scrape,Karaodura
"to fry, roast",Karanga/kusika
to move things about,Karangatamza
eat after fasting,Karango
open space,Karanzi
a tiny brown bird,Kararansundr
playing cards,Karata
ritual,Karomborombo
hereditary trait or weakness,Karonkoronko
"symbol, sign",Karorwaho
"comer, angle",Karugu
"tiny biting fly, midge",Karumanfuzi
dizziness,Karunguurro
"hereditary custom, tradition etc",Karuukaruukane
female kid or lamb,Karuusi
splint,Kasambi
king's palace,Karuziika
the man,Kasaija
sparrow-hawk,Kasarabinywa
"thrice, three times",Kasatu
"insincerity, hypocrisy",Kasekokeera
whydah finch,Kasekya
one hundred thousand,Kasiiriira
pustule,Kasiita
"respite, truce, peace",Kasinge
"complete darkness, pitch darkness",Kasira
"slope, declining, descending",Kasirimuko
silence,Kasiro
cross-pole of roof,Kasorya
uvula,Kasondaburo
"sharp point, shoot, sprout",Kasonga
small shell,Kasonko
"enticement,persuasion",Kasoono
roof,Muhama
parrot,Kasuku
"time, season; bud",Kasumi
royal crown,Kasunsunkwanzi
hombill,Kasuraibaaga
pure,Kaswa
armlet worn by bakonjo,Kataaga
entrance,Kataahiro
lamb,Kataama
",five times",Kataano
gourd ladle,Katabyo
market,Katale
avoidance,Katantaro
shelf; lintel,Katara
small cooking pot,Kanaga
"net, web, hammock",Kateeko
ankle,Kateerarume
small calabash cup,Katema
descent slope,Katentebuko
deaf and dumb person,Kateta
infatuation,Katiiko
a mottled bean,Katiinabaisiki
light brown grasshopper,Katikoomere
breast bone,Katondotondo
small bush,Katongo
reddish- coloured fowl,Katuku
a tall flowering grass,Katumburwa
"passion fruit, (grenadilla)",Katunda
onion,Katunguru
"to break, snap; devour",Katunura
"gland, nodule",Katuragunyu
a packet,Katwaro
odour of civet cat,Kawaisimbi
ground squirrel,Kawamutere
lanky person,Kawaruconco
see buwarutege,Kawarutege
pipe- stem euphorbia,Kayenje
to storm at angrily,Kayukira
lead singer of cmbandwa,Kazini
god(spirit) to protect cattle,Kulisa
"to examine,scrutinize, criticize,investigate",Kebera
"to cut quickly, snip",Kecura
peace talks,Keefubo
thin,Kikebe
"concea lment, hiding",Keehuguro
"to diminish, lessen, reduce",Keehya
"to sieve, sift, separate",Keekeeya
to cackle,Keekera
to be dissatisfied,Keekerreema
:commotion,Keemeerraine
to be too late,Keerererwa
to be belated,Keerererwa
to be late,Keerererwa
to approach timidly,Kekemeerra
"church, chapel",Keleziya/kaniisa
"to escape, survive",Kutoroka
nine thousand,Kenda
separate liquid,Kenenura
grow very thin; drain,Kenkemuka
to groan,Kenyera
very dry,Kele
she has/brings luck,Kemigisa
biting fly,Kibaara
green colour,Kibabi
ladle,Kibaju
"merchandise, packets for sale",Kibambo
flat wad of tobacco,Kibanda
"plot,site, piece of land",Kibanja
strup,Kibaranguzo
"calculation, mathematics",Kibaro
useless person,Mburamukoro
spirit shrine,Kibbaali
spirillum tick,Kibbo
dumb person,Kibbubbu
biceps,Kibeba
"anything carried, parcel, litter",Kibeede
thigh,Kibero
"evil, sin, guilt",Kibi
"offence, vexation",Kibihizo
bowl (native),Kibindi
speckled hen,Kibebe
variety of potato,Kibingo
"large reed, elephant grass",Kibingo
forest,Kiibira
"matches, sulphur",Kibiriiti
papyrus,Kifunjo
omugango,Kigango
a black goat,Kibogo
white cow,Kibona
"shooting star, meteor",Kibonwomu
"smell, scent",Kiboya
tum time,Kibu
"washing place, latrine",Kibuga
"dull rainy day, gloom",Kibunda
hairy stinging caterpillar,Kibunguurra
"buttocks, bottom",Kibunu
hairy caterpillar,Kibweguurra
intruder,Kibwetaabya
pink balsam (impatiens),Kibwiga
cow with greyish colour,Kibuubi
maize (Indian corn),Kicooli
cloud,Kicu
space of time,Kicu
kitchen,Kicumbiro
half (liquids),Kicumbwituka
a plant (leonotis nepetifolia),Kicumucumu
glowing stick of fire,Kicumuro
ransom,Kicunguro
bottle,Kicupa
an old cow,Kicura
"twitching, throbbing",Kicuro
"piece, part,portion",Kicweka
disease like plague,Kidanda
see ijugo,Kide
a party (for amusement),Kididi
workmen's drum at 7:00a.m,Kidilddi
broad- bladed hoe,Kidimu
panic,Kidindimo
"bed pan, baby cott",Kidoli
heron,Kidongodongo
"good measure, abundance",Kidoomooro
thing with no bottom,Kidubuka
wicker basket with lid,Kiduukuru
salt crust on ground,Kidwodwo
worthless person or thing,Kifamugimba
spirit to protect cattle,Kigare
a deaf person,Kifamatu
a dumb person,Kifamunwa
"haze, fog",Kifu
stillborn child or animal,Kifu
chest,Kifuba
punishment,Kifubiro
bruise,Kifufu
large shiny lizard,Kifumbatanjoka
drill (tool),Kifumuzo
"cover, stopper, lid",Kifundikizo
opener,Kifundukuzo
young mushroom,Kifundukwa
"colon, large intestines",Kifunjo
deserted spot,Kifuruka
brownish-red colour,Kigaaju
"ricksaw, cart, wheel barrow",Kigali
song (relating a story),Kigano/kiganikyo
the favourite wife,Kiganzi
sit at ease,Kigazrgazi
bateleur's eagle,Kigeera
basket,Kigega
valley,Kigera
"footprint, foot",Kigere
molar tooth,Kigigo
spoon,Kigiiko
"fort, fenced enclosure",Kigo
sisal,Kigogo
see kididi,Kigoma
reed fence (plaited crosswise),Kigombe
patch (on animal),Kigondo
wave,Kigonzi
"lodging place, camp, inn",Kigoonyo
smell of anything burning,Kigugu
very light-coloured millet (oburo),Kigugu
"idiot, stupid person",Kiguliguli
thrush,Kigurukamugongo
"mixed vegetables, pottage",Kiguude
"foolish, half-witted person",Kigwagwa
unforeseen events or items,Kigwererezi
"fall, hurl down",Kigwo
herd alone,Kihaarra
pot scraper,Kihaarro
bad luck,Kihaata
brave leader,Kihagi
lung,Kihaha
"light, shallow thing",Kihahara
cooked food left over,Kihambaata
muzzle for calf,Kihamira
wide road,Kihandagazi
"writing, inscription",Kihandiiko
"valley, dell, ravine",Kihanga
created thing(by a person),Kihange
creature (of God),Kihangwa
uninhabitable place; (see omugwagwa),Kiharabaga
twin bananas etc,Kihasaua
stammerer,Kihebeba
"gift, offering, contribution",Kiheebwayo
basket for winnowing,Kihebemukya
"toilet leaf,toilet paper",Kihebyo
inside of eyelid,Kihene
"bed-bug, large maggot",Kihengere
"uneasiness, unrest",Kihenule
two handfuls (bands open),Kihi
cold dulI weather,Kihihi
prominent abdomen,Kihiima
perspiration,Kihiitano
bean,Kihimba
a blind person,Kihimbaara
swelling of the thigh,Kihimbo
"incomplete portion, half",Kihindi
of India,Kihindi
withered gourd,Kihobo
"butterfly, moth",Kihoiborya
thin light gourd; invalid,Kihoihoro
kind of potato,Kihoko
"mark, spot, stain",Kihondo
but for calves,Kihongole
deserted house; hollow,Kihongomera
offering to a deity,Kihongwa
graze,Kihonole
secretion of the eyes,Kihoozi
"scratch, graze",Kihoole
"sore, ulcer",Kihooya
a hollow scooped-out thing,Kihorongole
large swelling,Kihu
insect,Kihuka
mole,Kihukuzi
stethoscope,Kihulizo
deserted anthill,Kihumo
"stupid, dull-witted person",Kihunaazi
By-whisk,Kihungyo
"orifice, aperture, hole, rent",Kihuru
rotten pulp of gourd,Kihurugutu
dwarf,Kihuruka
wound,Kihuta
stripe,Kihuuga
"shaven patch, bald patch",Kihuuguru
purple colour,Kihuukya
place of rest,Kihuumuro
edible tuber,Kihuuna
any tomato,Kihuurru
bird 's nest,Kiju
pan holder,Kijugo
fever with rigours,Kijugumo
"fruit, large berry, kernel",Kijuma
"bash, shrub",Kijumba
"abuse, reproach",Kijumo
bad smell,Kijunde
carpenter bee,Kijunjumiirra
garment,Kijwaro
"big, strong person",Kikaaka
King's or Chief's enclosure,Kikaali
scratch,Kikaatule
question,Kikaguzo
sugercane,Kikaijo
sugercane,Kikaka
ruin,Kikambuuro
mangle,Kikamuuro
tendon; anger (slang),Kikana
deserted plantation,Kikande
threat,Kikango
"black cow, hen, etc",Kidkara
"scale, bard skin",Kikarakaata
frying-pan,Kikarango
pumpkin,Kikeke
"frog, toad",Kikere
"partition, veil",Kikingyo
skin of human body,Kikoba
eyelid,Kikohi
riddle,Kikoikyo
"we've cooked beans,etc",Kikoma
"spoon, stirrer",Kikombyo
large brass bracelet; copper,Kikomo
"cup, chalice",Kikompe
snake of puff-adder genus,Kikondambogo
fibre of plantain stem,Kikonde
curse,Kikonderezo
heel,Kikongoijo
millipede,Kikongoro
empty maize cob,Kikonko
Large lizard,Kikonko
"bundle (of grain, etc.)",Kikoodo
"bonfire, burning rubbish heap",Kikoomi
leaf of a plant,Kikoora
"cough, sputum",Kikoorro
"scratch, wound, bruise",Kikoosole
"cup, mug",Kikopo
"root of tree, source",Kikoro
sputum,Kikorondozo
"act, deed, mystery",Kikorwa
title of honour,Kikugizo
swarm of locusts,Kikukuuru
hunting- hom,Kikule
odour of animals,Kikumbi
one hundred,Kikumi
one hundred and one,Kikumi n'emu
one hundred and ten,Kikumi n'ikumi
a bald person,Kikungwire
stump of a limb,Kikunku
stump of a tree,Kikunya
"track, trail, rut",Kikurunduzo
"tarpaulin, canvas",Kikutiya
chimpanzee,Kikuya
counterfeit,Kikwaogara
burr,Kikwasi
"bundle, bunch",Kikwato
restlessness,Kimagomago
familiarity,Kimanyiirraine
arrow;(see ekibombo),Kimara
"shivering fit, rigor",Kimazi
bruise; com,Kimbaju
"plant, growing thing",Kimera
eat early (cattle),Kimilko
broken cooking pot,Kimuga
"reed, torch",Kimuli
comet,Kimuli
torch,Kimyasa
"to gambol (calves, kids)",Kina
"basin, shower room",Kinaabiro
blind-worm,Kinaabo
eighty,Kinaana
cooking pot,Kakinaga
liver (obune),Kine
"to close, shut,(door, window)",Kinga
"dwarf, deformed person",Kingida
see omutaami,Kingoleka
crow,Kingoora
to be open,Kingu
"to open (door, window)",Kingura
anger,Kiniga
eighty,Kinaana num
the disliked wife,Kinobi
empty eye socket,Kinoko
protuberance above navel,Kinosi
queen temite,Kintana
"a thing, item",Kintu
this one,Kinu
"despicable thing, abomination",Kinugwa
bad smell,Kinunko
ransom,Kinunuuro
cow's mouth,Kinwanwa
"very large potatoes, etc",Kinyagukulima
screw-driver (see kinyororo),Kinyakumyora
crab,Kinyamagaga
civet-cat,Kinyamakeka
gladiolus,Kinyamubyo
Egyptian goose,Kinyamunkaarra
large black stink- ant,Kinyamunkanga
queen termite (= kintana.),Kinyamuntana
porcupine,"Kinyamunungu,"
mode of dressing hair,Kinyamuruuta
water-scorpion,Kinyanduuta
thin copper-wire bracelet,Kinyeerre
"accuser, complainant, plaintiff",Kinyegeerra
defendant,Kinyegererwa
tickling sensation in nose,Kinyegezi
placenta,Kinyina
spark,Kinyinyiizi
large black ant,Kinyomo
ground-nut,Kinyoobwa
larva found in water,Kinyorozi
"vein, artery, sinew",Kinywa
blotting-paper,Kinywabwino
drinkable liquid,Kinywibwa
drinking-vessel,Kinywiso
papyrus mat,Kipaali
"accuser, complainant",Kinyegerra
careless person,Kipaku
mudguard,Kipampagara
"placard, sign post, reading-sheet",Kipande
"weighing instrument, measurement",Kipimo
cattle kraal,Kiraaro
bully,Kiraarre
"shoes, sandles",Kaito
"club, drinking-shop, pub",Ebara
"flower, blossom",Kiragaano
"covenant, agreement",Kirabyo
"command, order, commandment",Kiragiro
"mat,carpet",Kirago/omukeka
"oath,vow",Kirabiro
"glass, tumbler",Kirahuli
tuber of orurali,Kirali
"stripe, row of hair",Kirambi
creeper,Kiranda
proclamation,Kirangiirro
make to overlap,Kiraniza
arrow for bleeding cow,Kiraso
wooden spoon,Kirazi
"taut string, sinew, etc",Kireego
secret accusation,Kirego
a very large basket,Kireguurro
deformed or lame person,Kirema
head- cloth,Kiremba
"lullaby, nursery rhyme",Kirembeerro
"patch of cloth, rag",Kiremu
about 5 p.m,Kirengabazaana
measure (of size),Kirengo
to tickle (e.g. throat),Kirigita
"greedy person, glutton",Kiriiranda
very greedy person,Kiriiririzi
crops,Kirimwa/ebimera
what is it,Kiriki
"night, day",Kiro
bad witch doctor,Kirogorogo
dewlap,Kirokooroko
return a present,Kirongooro
dream,Kirooto
nick name,Kirukiirro
"thigh, leg (of meat)",Kirumbu
bug (generic term),Kirumi
"condiment, seasoning",Kirungo
sheath for spear,Kirweyo
road bank,Kisa
labour pain,Kisa
"adj., grey",Kisaakusaaku
herbal purgative,Kisabiko
"pillow, cushion",Kisago
male,Kisaija
"thicket, bush,jungle",Kisaka
pruning-knife,Kisalizo
spur of cock,Kisambizo
switch,Kisanju
thing with no flavour,Kisanku
comb,Kisanuruzo
"an old potato, stale",Kisarale
"numbness, cramp",Kisarazi
spark,Kisasaazi
"cells of honeycomb, wax",Kisasara
porch,Kisasi
poor soil,Kisazi
"beetle larva, grub",Kisebe
sieve,Kisegeso
skin causing itch,Kisegwe
comb and arrange hair,Kisekura
"present, gift",Kisembo
"filter, strainer",Kisengiijo
raft,Kisengo
path of papyrus,Kisensa
"ragged edge, rag",Kisense
opaque white bead,Kisenyi
plant like stone-crop,Kisezere
"wall, room, partition",Kisuka
"log of wood, block",Kisiki
holes left by jiggers,Kisikirr
"a turf, sod",Kisindikwa
broom,Kisingolezo
heel,Kisinziiro
"adj., black",Kisirikuuku
sparrow,Kisirya
pith of papyrus,Kisisa
"likeness, picture, statue, idol",Kisisani
"gourd, calabash",Kisisi
