enkura	Rhinoceros
byokurya	Food
enimi obu etemba ente e/.:11/ize; eme ze niitoroogebwa ibura ly 'ekisura	Egitoroogya, when a buU serves a pregnant cow, it miscarriages; His cows get miscarriage due to salt deficiency I due to lack ofsalt
abemiruka	Parish chiefs
tandika	To begin, start
jonjoora	To as behave a bull y.
bwegesa	Teaching
-amabingo bakozeseze ekiaali bakagafoobera kukikozesa kurungi.	-the reeds which they for used the King's enclosure were interlaced so as make to it look smart.
Egogeza	To be self
bumanyiizi	Experience
- ekyamujulize nukwo kuburwa amata aga yanywaga kiro	- what made him/her yearn is the lack of he/she milk used to drink daily.
ekikoosi	A battalion
bikaoja	Dregs of beer
omwirima	Darknesses
ebyoya	Feather, hairs
akahungabeebe	A small flying termite
ebyesomeko	Coat, garment, made-up overals
ekisensero	Entrance: a posterior gate
faafaana	To come to nothing, be destroyed, wear out
oburwaire yarwaire nubwo bwamujegemeze	It was illness that made him grow old and wrinkled
cupa	Bottle
ekyahati/kirokinu	Today
ebiteere	Dried cassava
ekihukuzi	A mole
tulima oburo omumisiri yaitu	We grow millet in fields
engoye obu ozoogya otaimaziremu shake about; t. ekitabu	Waddle. Burofu zitinda, clothes which have not tintimya, ku-, oku-, v.c; Had become stale
akaswerwa amabeere nigafukama kugwa	She got married at the age of 16 years, when her breasts were just begin ing to grow
ekyasi	Gap in the teeth
tilna	To fear, hold reverence in
junga junjuruma ekikoomi baataireho ebinyansi bibisi kikajundeerra byona; bakata ebiti bibisi omumuurro ogurukubuguma byagujundeeza	A burning heap of grass to which wet was added smouldered for two They put fresh wood in the glowing fire and made it smoulder
akanyamurera	Flute: a musical instrument
ebijumo	Insult, an abuses
bwangu	Quickly
ebipaali	Papyrus mats
twalirirwa	To have a nap, be drowsy, doze up
akakongoijo	Heel
bikumi bibiri	Two hundred
ekikoonora	Bull dozer
Emyombekere	Style of building, architecture
bika	Announce the death
uganda etunda omwani maingi	Uganda exports coffee to many countries
twengekeerra	To enlarge, add to, heighten, lengthen
etaabya	Intrude
ensonga	Menstruation period
engasa	Small delicious fish
obu baamucumikiriire yatuutukira kim11 weena	When they gave him/her a steamed herb bath, he/she perspired the more
ekisusu	Peel, fore husk, skin
ebyekurra	Crawling things
ente kukufuhira buli neekuseruza obulemu	If a cow snorts at you it is a sign of challenging you for a fight
escra	To give water (cattle)
obugenda-buhiire	. A brownish grasshoppers
eyongosa	To twist; go unwillingly
encwekye	Someone who dies childless
junjumuka	To be hairy
abaana baahaburwaga kutatug11likwa hagati y 'abantu bakum; akatugulikinva omumaiso g 'abagenyi baamufubira	Obu baabaga baikaliire nibabaza, children were warned not to hung around where old people are seated and conversing; He/ she hung around before visitors and was consequentlypunished. Tuguoduka,ku -, oku-, v.i.,, toprotrude
amadaraka	:being stylish
ekisoonante	A of grass
turuukana	To pass right through
ekijujuka	Odour: unpleasant smell
okuriisa ente za'mata	Dairy farming
buganyizi	Pity, mercy
ebiina	ditch, Hole, pits
ekikaguzo	Question
ereega	To be taut, tightened
ebinyangabo	Edible mushrooms
butebezi	Preaching
tebeza	To inform, tell, preach
temuka	To tom, become rent
akatimba	Net, wire mesh
akasanga tumazire ira kulya n"emeza bagitandukurwire ira; akaba agenzire	He/ she found that we had already finished eating and the table had already been cleared up. Tangs. She had already gone, but her husband her while the
buga.njaine	Friendship, affection
akanyamankogoto	Tortoise
naaganya kujagajagira omubantu	He/ she is troubled when he/she thinks of walking awkwardly among the people
buteodebeki	Task
Ehingahingisa	To be changeable
ekiti	A piece of stick
abapagasa babaire 11ibatontorrooma habw 'esaaha barukumara hamulimo	The labourers have been grumblingabout the hours they are spending at work
akasoono	Enticement, persuasion
Emyehurro	Conceit, boastfulness
Endangaazi	Hartebeest
amaziga	Tears
tubyara haihi no'rugo	We planted pumpkins near the fence
ebyezigolezo	Corner, turn, bend,curves
ebirego	Secret accusations
cementi	Cement
ekijubwa	Type of horizontal grass
tamiirukuka	To get sober, from wake drunken sleep
Buraya	Europe
kwata mungaro	catchin To the hands
omwana mukuru tayetaaga muntu ow 'okumutemburuya hakitabu	A grown up child does not require a person for putting him/her down the bed
ebibanda	Carpenter's shades
obu yacwire omunkomo kuhika owaabu akafufuliza omukibira	When he escaped from prison he walked through a dense forest to reach home
taliza	To leave (tree) in the ground, disturb, hinder
ekisumuruzo	A key, an opener
busumi	Time
Egemuliza	To fetch one's food
ahanyima	Indicating sequence of events
buhaba	Folly
omusaija akatiiniriirra mugenzi we omwirungu obu bagiire kuhiiga embogo	A man left his hunting mate in the lurch when he was caught by the buffalo in the jungle
bubaagi	Flaying
akajabirro	Over excitement
tuma	To send for
ebiteete	Umoa grasses
eminwa	Lips
empuka	East wind
embalira	estimate, budget, calculate
engingo	Shape, figure, joint
ereka	Shrub with much syrup
furuuta	To be blistered, (as from bite or sting)
engiga	Notch, point joint,
tilna	To fear, hold in reverence
amankwaha	Armpits
totatota	To tuga
ensole	Young dog, puppy
akarorwaho	Sign, symbol
ekijoojo	Fresh banana sheath tree
ekigango	Room for catechism classes
tandika	To get started
jwaburuka	To be refreshed, take a rest
taahtirra	P1:2
ekitentere	A young grasshopper
busa	Afresh; once more
ekyabuuramuti ekooti	Cart, rickshaw coat, jacket
ebikaijo	Sugarcanes
bibiri n'emu	Two and hundred one
obugenda-buhiire	. A
obusirimuko	:a places
ekinosi	Protuberance above navel
duubuuda	To waste
doi doi	Making continous noise
noobu e11seene11e baazaahuragaliaiguru kwinganaki	Omusuma yasoboraga kuzitembeerra akaziiba, however, high grasshoppers would be kept, a thief would still climb up to steal them
tungura	To fasten pointed narrow part of hoe firmly to handle
obwenju bwa sukaali babut11gira omubuhunga bwa muhogo nukwo battmgemu ekibumbe ky kabaragara	Sweet banana is kneaded together with cassava flour order toget the dough omofwhich pancakes are made
engwara	Horn trumpet
budongo	Mud, mortar,clay for building
bwa busi nseeri	On the opposite hills
Ekonga	Shrug the shoulders
bwomere	Dryness
obuwamuje	Squirrels
bumwemwe	Smile
jugumbya	To mobiUze, shake
ebikonderezo	Curses
ekinywabwino	Blotting paper
obuhangabeebe	Small flying termites
biri	Root, two
entama	Mouthful
bire	Bad, ugly
amahanga	Nations
ekintana	The queen termite
bikumi bina	Four hundred
amasamba	Estates, plantations
ebintana	Queen termites
tinda	To be discoloured (cloth) due to poor tiritn """"t
ebigega	Big baskets
obuti bwisoke	Comb, hair brushes
boba	kcal, fox
tonta	To grow thin and feeble, look mournfully
ekyaraani	Sowing machine
tokomeza	(p:. -tokomiizci: pass of c.form, tokomevbwa, ku-,ok,,.
ekisyarazi	Stagnant water
bukwenda	Deputed authority, ambassadorship, ministry,commission
okusalira kiyambaho ebirimwa kukura kurungi	Pruning helps the plant grow better
ekihuurika	An absent minded person
akagobo	Win in a game
bunuzi	Flavor, taste
akalebule	A careless talk
ekyokuhonga	Offering
okukama	Milking
byaoa	Fruit, offspring
juura	To take off clothes, undress, wear indecent clothing that shows private parts
tulinda obume habye'nyama	We raise rabbits for meat
ebikora bya muhogo	Cassava leaves
ekibira	Forest
omusaija n habw 'okuba baceke omukuru akobateeraniriza muka yabo	Both the man and the woman being weak, the priest married them at their home
budaida	Ceaselessly
esansara	To scatter
encumate	Thick eye secretions
turumuka	To be languid, slothful
ombunyamukira	Dung maggots
fuuha	To avoid, be jealous of (wife or husband)
Ekeehereza	To draw in stomach
ebyokoora	Poison by witchdoctorses
tuura	To dwell, sigh
buhyaka	Newness
bugurusi	Old age
cuucu	Dust
bugeoyi	Feast
Emererwa	To have pain
ebitontome	Poems
abalimi bataha mukitebe nukwo batundire hamu	Farmers join cooperatives to sell together
baziira	To sew
tegwire	I t bas not fallen {cl.4), tefiire, it has not died (cl.9). Ta- Negative prefix after a personal prefix or a pronomina l concord: ntamubone, Idid not see him
buguuda	Wealth, riches
ekireere	Dry banana fibres
ebikayaabu	Fish: Salted fishes
enguzi	Bribe
tebya	Converse, narrate, tell news
bulengerezi	Careful measurement (of food)
ebitabujuguta	Civet-cats
okugesa kukolebya hanyuma ye'bimera byezire	Reaping is done when the crop is mature
taza	To take about, make to travel, spread (report)
bitaarra	Whiskers
ebyobutegeki	Politics: matters of politics
turiisa habye'nyama	We keep pigs for meat
ekibazo	Sentence: a complete statement
emibibi	Hymen: vagina membranes
emeeza	Table
furuuta	To be blistered, swell (as from bite or sting)
Caali	Expresses pity, admiration
engoonyo	Camping-place, tennporary shelter
tuura	To take off a load (from ones head or another), omuntu ob11 aba atarukusobora kwetuura wenka ayetwekere ekintu bamutuura
ebigurukano	Occasionally; not oftens
teta	To be carefree, to talk (as a child)
jumagira	To walk with head bent
fuutafuutiika	To bundle any in how, to stuff
eriigenda	These nowadays days,
ekisunsuzo	A comb
butasi	Espionage
gavumenti egura esingo hali abalimi	The government buys grain from farmers
omutabani nuweyamutundiire embuzi ye; omusoro nugwo gwamutundize embuzi ye	It was his/her son who sold the goat on his/her behalf; It was due to graduated tax that he had to sell his goat
bakabasoboorra bazaire baabo ekyabatunuliize akanyonyi akembaganiza	They explained to their parents the reason why they gazed at the special bird
omusaija n 'omukazi habw 'okuba baceke omukuru akobateeraniriza muka yabo	Both the man and the woman being weak, the priest married them at their home
ensenge	Giant hog
Egiigya	Type of loan grass
tambuurra	To remove a spell, exorcise
0111ura11111zi akakizoora nkooku eki11111yamugambireho eki akaba akinmtembeekere kwonka	The arbitrator realized that what he/she said about him/ her was false
dimiryangombe	Blue soap
ebiramukyo	Small present, remembrances
eminyeeto	The youth
erangi	Colour
entanaki	Vomit
teta	To be carefree, begin to talk (as a little child)
alimansr	Diamond
byo	They, themselves
tona	To be spotted
bwanamukuru	A priest parish
taha	To draw bale (water}, ladle out
bintu	Things,wealth
amata gatahatwa ayagatahasire	Atakagatahataga, tagatahata, milk in a wooden vessel is carefully carried on open palm by a person who has ever carried it so, one who has never done so is not able to do so
ebijunzire	Rotten things
tandalika	To stretch out (as a tent)
ebinyansi	Weeds, tall grass
ebbeeseni	A basin
ebirahiro	Oath, vows
banyamalindwa	Guardians of others' flocks
tamburra	Tambuurra tana to meat distribute (esp. Remains of carcass to hunters)
doma	To bestupid, silly, foolish
enkoko zirya ne'bihuka esingo	Chickens eat grain and insects
ekisonga	Chest pain
omuntu amanyire ebyenseke nuwe atebera abanyubenyzmgu enseke	It's one who knows all about pipes who molds pipes for pipe smokers and fits them into their bowls
byabazaire	Of parents
enjenga	Many banana gardens together
ensolima	Large type of rat
Endahiro	Oath, protestation
bwckobi	Conspiracy
tetera	give To to (used of a young child)
ebitakuli bito babitimba kandi ebikuru babiteera n 'efuka	People scoop up young potatoes with a stick and the fully grown up with a hoe
engendo	Travels, journeys
bwakabiri	Second time
tondoora	To shell, peel, remove husks, split open, unpod
ekikonkomago	Wood pecker
dubungura	To hollow out, probe,lance
teerana	To be together, be in agreement, have sexual intercourse, make alliance with
bwanga	Hollows
mwije muntenekere omusiri gwange gunu; enfuka ya kidim11 niyo ebo mmgi kutenekesa omusiri	Come and dig my garden by turning over clods; It is a broad bladed hoe that is suitable for turning over clods in digging
akati kisoke	Comb, hair brush
ekikongoijo	Millipede
ekirabyo	Flower, blossom
birungo	Seasoning,spices
ebitingwa	Sexually looses
bwatu	something Doing openly
tikiri kirungi amaizi kutungeerra haihi n 'eka; ezigati eteeculikire etungeeza amaizi	It is not good for water to clog near a home; A compound without a slope will cause water to collect in it
ebika byo'butuzi	Type of mushrooms
Ega	To learn
ebirimwa nibyenda enjura ekumara kukura	Crops need enough rainfall to grow
enkoko	Chicken
obuhimba	Clitorises
akanyamwenyi	Squirrel
kugesa	Harvesting
ensi	Earth, land, country
amatembero	Ladders
Ruhanga atutanga kuteekerereza busa bagenzi bairu ngu bakozire ekintu ekibi nanka; ebiteekerezo eby biteekerezibwa Ruhanga	God forbids to us think unfoundedly bad acts about our neigbbbors; Thoughts of peace are thought by God
ekikura	A large trench
tunguutana	Fom1, tunguutaniza, ku-, oku-
Empugutani	Forgetful, scatterbrained person
ebihimba	Fresh beanses
obuhumizi	Sparrow-hawks
bikangaarra	Skeleton
ebihohe	Soft immature calabashes
eraatiri	A pound
obusasamaro	Greatcommotion, confusions
eta	To call, invite
ekinyabwoya	A woolly caterpillar
tyaza	To sound (King's big drum)
tamura	To take out of mouth of another (usually child)
noobu e11seene11e baazaahuragaliaiguru	Omusuma yasoboraga kuzitembeerra akaziiba, however, high grasshoppers would be kept, a thief would climb up to steal them
ebikora bye'bikeke babirya	Pumpkin leaves are edible
amakutu	Short cut
doodokya	To mock, ridicule
taabaana	To be over with wander, scatter, grope, look or cry for help in vain
akabasaba kumutondoorra ebihimba bye	He/she asked them to unpod the for her
buzigu	Hostility,enemity; smallpox
tooza	To cause to be sharp
esarisari	SW.urine in droplets
eraoga	To announce oneself
buzaale	Clanship, relationship, kinship
omuhanda gurumu ebisaabu guteerra	A muddy path is ever slippery
ensoborra	Explanation
obuhya bwe butoize embogo; kinu kitoozebwa muyamba	His pit has a buffalo fallen in it· pass of c.form, ku-, oku- (pi -tooziibwe); This big knife is sharpened by a file
tambuurra	remove To a exorcise spell,
ebitakuli bito babitimba kandi ebikuru n 'efuka	People scoop up young potatoes with a stick and the fully grown up with a hoe
ebirabyo	Flower, blossoms
jumbuutukira	Pr
ekyadaadi	Placenta, after birth
tomera	charge To knock into, against accidentally
entoole	Water frog, stupid person
jaallima	talk nonsense
amakamo	Curdled milk, junket
tusegesa oburo okubaganizamu esingo	We millet thresh to separate the grain
Ehoza	To lend
Ebaganizaamu	To withdraw oneself
ekyenyanja	Fish
wankuura	Plant with yellow flowers (rather like primerose)
okusiga kukorwa hanyuma yo'kulima	Sowing is done after plowing
enuuni	Duodenum
tabaara	To go to war, go up to the capital or to the King's palace to meet the King. Tabaaro,
buyondo	Twisted fringe
bagaya	They despise
