muhogo	throat
beebwa	are given
biringi	many
bibiri	two
bibiri n'emu	two and one
bibiri n'ikumi	two and one hundred
bigo	schools
bikumi bibiri	two hundred
bikumi bina	one hundred and forty
bikumi bisatu	three hundred
bikumi bitaano	one hundred and fifty
biizi-bitoosa	regularly
binkwatiireki	I'm worried
binzaari	flowering plants
binu	the nose
biisopu	bishops
bonka	alone
bonsatu	all three
bontaano	five
boojo	the bojo
bbooda-booda	a little bit
booma	fear
boona	all
bucuzi	coughing
bugazi	high blood pressure
bugingo	the soul
bugubugu	tooth decay
bugendandara	traveling
bugwaizooba	every day
buheekwa	to be abandoned
buhyaka	lightning
bukiika	north
buli kiro	every night
bundi	sometimes
burugaizooba	the sun
buturukamusanaj busa	the sun is shining
busi bwa nseeri	oatmeal
businge	more
butaleka	does not give up
butoosa	regularly
bujenjebere	look at me
bujinja	a stone
bujumeera	be refreshed
bumoso	one-sidedness
buri	each
buso-bwa-ntaama	the face of a lamb
busa	not worthwhile
bwa	as
bwakeire-bwaizire	the next day
bwangu	quickly
bwanamukuru	mother-in-law
bwanyima	afterward
bwatu	our
bweera	when
bwemi	well-being
bwereere	free of charge
bwino	well-being
bwo	your
bwohe	all of you
byabazaire	born
byo	your
byona	all
kubunga buli kaire	combining each layer
caai	coffee
tandika	start
Caali	It Was
cambaitu	our cottage
candakaarra	I can't
kubonesa	to show
capa/kutera	cover
capuka	cappuccino
capura/kucwa	capura/buried
ceba	see
cebaceba	what is it?
kusekereza	laughter
ceeceeba	to look at
ceke	cheque
cekeca	to be quiet
cwonacwona	What's going on?
cekya	the next day
cencebuka	I can't
cencebura	and
cenkacenka/nena	hesitating
cika	complete
cikinya	fearsome
cikinyiza	be careful
compacompya	compacompany
concoboza	concoction
concona /kohonda	consonant or consonant
kubyama	coughing
cucu	the grandfather
cugura	open up
Cukanaho	Changes
cukumura	culling
curiikana	carefully
kusindika	to send
cumanga	to eat
kwanga	hatred
cumba	room
cumbagira	cough
cumika	decrease
cumita	to conceive
cuncumura	to sin
cunduka	run away
cumuka	wake up
cungura	to buy
cunkura	change
cupa	cup
ente ekuru,omukazi mukuru	a bull, an old woman
curru	The curve
cuucu	small
cuukun	fever
cwagura	increase
cwamu	unconsciousness
cwanganiza	be balanced
cwanganizaamu	be balanced
cwaogya	new
cwankuna	coughing
cweka	to hide
cwekana	clinging
cwekanira	be self-sufficient
cwereeira	self-esteem
cwanganisikaniza	to make a comparison
cacaca	early
cakucaku	early in the morning
ceiceice	small
coroko	the crocodile
culeezi	cleave
cuucuucu	clutch
daata	father
dai	If only
kifaaro	heirloom
dakiika	one minute
dakitaali/omufumu	physician/physician
dalizi	the eye
dambakaarra	to get married
damura/genda	to go
demba	go to school
dibisa	food
dyaka	again
digidigi	degree
nyweza	strengthen
diini	religion
diira	to eat
dikira	wait
dikya	early in the morning
dimiryangombe	shellfish
dimunadimu	some
dinga	other
yongeza/kabiri	increase/double
doma	area
domadoma	the domadoma
domya	food
doodokya	to burn
cementi	cement
dongoro	the commandment
dooba	fish
dookooli	the doctor
Dora	Dora
dubungura	the spine
duduma	tower
dudura	sit down
dundukya	run away
dundumuka	run away
kusumura	loosening
duraamu	Durum
duubuuda	Buddhism
duuka	shop
kurangira	to preach
duura	look around
dubura	speak
dai-dai	day by day
daburokara	to break up
dainingi	food
dara	not
dereeva	driving
deero	deer
disiko	discourse
doboro	may be
doi doi	What to do
doodo	justice
ekidomora	the smell
ebidomora	explanation
ekidongodongo	the coconut tree
ebidongodongo	cuttlefish
ekifubiro	the breast
ebifubiro	breasts
bikaiko	councils
bikaiko	councils
ekifu kyenda	a dead body
ebifu kyenda	nine dead
ekifunjo mururuma	a fungus in a mushroom
ebifunjo mururuma	butterflies and moths
ekigambo	the word
ebigambo	words
ekigango	purpose
ebigango	exaggeration
ekidikizo	cooling
ebidikizo	barriers
ekidongo	earthenware
ebidongo	rubble
omudoma	the palm tree
abadoma	wholesalers
ebifuba	breasts
ekifufu	cloudiness
ebifufu	feathers
endoboro/ensahu	handbag or purse
endoboro/ensahu	handbag or purse
ekisaniko	the scallop
ebisaniko	examples
ekifunjo	an antelope
ebifunjo	mushrooms
ekigaali/enengere	bicycle
ebigaali/enegere	bicycles
kanyama	meat
bakanyama	wild animals
ekiganyiro	usefulness
ebiganyiro	advantages
ekigarukwamu	the result
ebigarukwamu	the results
ekigene	how big
ebigene	size
ekigiiko	the cage
ebigiiko	eyelids
ekihano	punishment
ebihano	punishments
ekigega	the owl
ebigega	ears of corn
ekigere	foot
ebigere	feet
ekigigo	a fortress
ebigigo	walls
ekigunguru	high
ebigunguru	cloves
ekihambo	an obstacle
ebihambo	the words
ekihohe	what is it?
ebihohe	toothbrushes
ekikyorooni	the chrysanthemum
ebyorooni	eyebrows
ekijunjuuzi	a summary
ebijunjuuzi	excerpts
ekijwaro	a garment
ebijwaro	clothing
ekikaali	what it was
ebikaali	what is it?
ekikaijo	example
ebikaijo	examples
ekikaragwe	the dragonfly
ebikaragwe	toothbrushes
ekikindo	the thorn
ebikindo	restrictions
ebikeke	what to do
ekikere	the frog
ebikere	frogs
ekikoco	the caterpillar
ebikoco	sweets
ekikongoriro	the scythe
ebikongoriro	toothbrushes
ekikohi	the cocoon
ebikohi	toothbrushes
ekikoikyo	the coconut
ebikoikyo	cloves
ekikoligo	a yoke
ebikoligo	yoke
ekikoobe	the coconut
abalisa	the beggars
ekisoro	an insect
ebisoro	animals
ekikoosi	cough
ebikoosi	cough
ekikopo	a cup
ebikopo	cups
ekijunzire	what's wrong?
ebijunzire	what to do
ekika	type
ebika	species
ekikaguzo	the puzzle
ebikaguzo	problems
ekikarango	the sign
ebikarango	signs and symptoms
ekiijukyo	the Memorial
ebiijukyo	reminders
ekijubwa	which is filled
ebijubwa	to be filled
ekijuma	a week
ebijuma	weekly
ekiina	what it is
ebiina	ferns
ekiinamirro	a pillow
ebiinamirro	pillows
ekiisamuhana	what is causing it
ebiisamuhana	disadvantages
ekiisurumba	an insect
ebiisurumba	insects
ekiisa-mutuutu	a feeding tube
ebiisa-mutuutu	nutrition
ekijinja	a stone
ebijinja	rocks
ekijoojo	diarrhoea
ebijoojo	diarrhoea
ekijubwe	to be filled
ebijubwe	filled
ekijujuka	which is full
ebijujuka	flooded
ekijaju	fullness
ebijaju	sweets
ekiihe	when
ebiihe	weather
ekiijongo	the spotted owl
ebiijongo	sponges
ekiika	what kind
ebiika	species
ekiikaro	the place
ebiikaro	locations
ekiju	flower
ebiju	feathers
ekijumo	whispering
ebijumo	gossip
ekyoroni	the crown
ebyoroni	horns
ekiituuru	the tortoise
ebiituuru	oils
ekijogojogo	coughing
ebijogojogo	whispering
ekikaaka	a kind of
ebikaaka	small
ekikaari	what is it?
ebikaari	what is it?
ekijaguzo	the riddle
ebijaguzo	celebrations
empaka	the controversy
empale	cold
empambiriza	a curve
empambo	a riddle
empanuura	the sword
emparacuki	parakeet
emparra	painful
empataniza	comparison
empazi	goats
empeereza	service
empegecu	headache
empere	the emperor
empeta	ring
empiigi	sponges
empimbaale	toothbrush
empitmpina	smallpox
empaama	the spider
empairimi	language
empakani	boundary
empamo	the relationship
empanabeera	a place to live
empara	warfare
emparangani	the catastrophe
empata	the potato
empeehe	the wind
empeera	rewards
empeese/enfuka empyaka	a new pair of shoes
empekenyu	cough
empiigani	fights
empirima	health
empogoma	swallow
enkunguru	mosquitoes
enku	wood
enkubebe	the nightingale
enkubiti	shrimp
enkukuni	woodpeckers
enkumbititi	smallpox
enkuna	cloves
enkunga	to be encouraged
enkunuukizi	the keys
enkura	old age
enkurugu	caterpillar
enkurungo	the spider
enkuraijo	cloves
enkorro	the tortoise
enkubirane	flowerbeds
enkukuuru	the grandparents
enkumba	the squirrel
enkumo	gossip
enkunda	smallpox
enkungani	coughing
enkunku	wormwood
enkunzi	the bull
enkakaara	coughing
enkurugusi	caterpillars
enkurungutaniza	coughing
enkusi	the owl
enkuuku	owl
enkwahwa	shrimp
enkwanzi	the caterpillar
enkwatirizi	earthworm
enkwato	shoes
ensaagi	oil
ensambani	high blood pressure
ensasanure	an explanation
ensongore	the caterpillar
ensumbi	a pot
ekwanzi ekwanasana	a spider
enobi	the evil
enondwa	coughing
ensaali	to pray
ensaasi	bullets
enkuya	fever
enkuzi/onuhama	a cow/goat
enkwali	the whale
enkwomoro	toothbrush
ensamya	flower
ensaija	spinach
ensekure	laughter
ensoberwa	misunderstanding
ensoboorozi	the caterpillar
ensoma	reading
ensonga	the reason
ensonga	the reason
ensoigo	wheatgrass
enombe	the cow
ensamaaki	coconut
ensaano	weight
enseegu	the spotted owl
enseenene	very much
enseesekale	earthquake
enseiso	earthquake
enseko	laughter
ensemere	smallpox
ensenge	flower
ensenyerre	fever
etanaki	orange
ensi	the earth
ensidirirwa	sweat
ensigo	seed
ensiiso	the eye
ensimbi	money
ensinduro	the answer
ensisana	afternoon
entaranta	the antelope
ensobi	mistakes
ensama	wheat
ensandaigo	the kidney
ensazi	moose
ensekere	laughter
ensembukya	fever
ensenada	earthquake
ensengo	the squirrel
ensere	laughter
ensese	a sense of humor
ensibago	flower
ensibyemu	toothbrush
ensiisira	a tent
ensindizi	earthworms
ensinika	moisture
ensita	length of time
ensoborra	how to
ensoga	the snake
ensogasoga	the cockroach
ensohera	end of life
ensole	shellfish
ensombabyoma	smallpox
ensondokozi	the spotted owl
ensongo y'omutwe	the top of the head
ensonjogo	a fountain
ensonzi	moisture
ensoro	insects
ensorrokano	assembly
ensubiirizi	expectations
entaahi	the tree
entanaki	how much
enteekateeka	a plan
enteere	seat
ente-matako	head or tail
entenge	a spider
ensunsunikizo	motivation
ensusu	scurvy
enswa	newlyweds
ensoha	elephants
ensolima	elephants
ensombi	insects
ensondo	the squirrel
ensoni	shyness
ensooki	the owl
ensorooza	smallpox
ensubiiriza	expectations
enswiga	the swallow
entabo n	book n
entasumbuswa	promoted
entembarusaka	anthrax
entetere	uncertainty
entiizano	disruption
ensundi	the spotted owl
enyuma	the back
enyungu	the benefits
enzibira-busa	forested areas
enziramira	eyebrows
enziiki	anthrax
enzira-kabi	dangerous road
enzirigi	worms
enziransi	insurance
enzonza-mutima	feelings of inadequacy
erende	to go
enzooro	worm
eraatiri	the spine
erangi	colour
eriiba	to be
amaiba	moisture
eriiso-ry'ensi	the world's eye
amaiso-ry'ensi	the eyes of the world
erooro	the word
eruusi	rhubarb
eryogero	a figure of speech
amaogero	examples
esaasi	pity
esaara	the sand
enyuguta	to swallow
enyumbu	the donkey
enza	he/she/it
enzaarwa	born
enziika	a funeral
enzige	locusts
enziha	cattle
enziku	days
enzini	motorcycle
enzizi	fountains
ereka	what?
eriigenda	going away
amaigenda	traveling
enzooka	snakes
epipa	the epinephrine
eri	to
amarogo	witchcraft
eriino	tooth
amaino	teeth
eryanda	increased
amaanda	family
eryato	a boat
amaato	ships
eryombera	craving
amaombera	coughing
eruguru	upper
eryana	other
engumba	city
esaatumba	headache
esaati	the saddle
esaiso	an estimate
esasazi	the stomach
esabwe	a petition
esafuliya	asaph
esa	threshold
esande	Sunday
esenza	heating
esokondwa	to be happy
esusure	to look at
esuuka	is
esirabo	gifts
esigara	leftover
esimu	telephone
esabbuuni	soap
esafaali	saffron
esagama	high blood pressure
esapuli	apples
esande	Sunday
esarisari	the sculptor
esojo	toothbrush
esweta	a needle
esiba	the spider
esimooni	lime
esirimbi	flower
etaaba	not smoking
etabaaro	to help
etabaaza	light bulb
etarabuusu	toothbrush
etanka	tanks
evaaro/eveero	effervescence
eveesiti	ewesite
eyange	mine
ezange	mine
ezikeere	small
etawaaza	uncompromising
etuutu	toothbrush
etundubaale	the caterpillar
evanjiri	the gospel
eviini	wine
ezaabbu	white
ezi	these
ekikonderezo	the subjunctive
ebikonderezo	restrictions
ekikangi	the crab
ebikangi	many
ekikayaabu	what is it?
ebikayaabu	disadvantages
ekikoba	leather
ebikoba	leather
ekikoijo	cough
ebikoijo	toothbrushes
ekikomo	copper
ebikomo	copper
ekikondere	what is it?
ebikondere	to be submissive
ekikondo	the stake
ebikondo	stones
ekikongoijo	the spider
ebikongoijo	clogs
ekikonko	the snake
ebikonko	difficulties
ekikoori	coconut
ebikoori	cloves
ekikorongezo	an adjunct
ebikorongezo	suggestions
ekikorwa	action
ebikorwa	actions
ekikumu	a spider
ebikumu	uncertainty
ekitindinda	anthrax
ebitindinda	swelling of the eyelids
ekitime	the grasshopper
ebitime	cuttlefish
ekitimatima	the heart
ebitimatima	the heart
ekitiiri	the owl
ebitiiri	beetles
ekiti	a tree
ebiti	trees
ekitere	not enough
ebitere	uncommon
ekiteete	the squirrel
ebiteete	toothbrushes
ekiteekerezo	the idea
ebiteekerezo	thoughts
ekitoijo	weight
ebitoijo	pressures
ekitoga	weight
ebitoga	weights
ekitingwa	the tree
ebitingwa	tree branches
ekiteete	the squirrel
ebiteete	toothbrushes
ensoha	elephants
ensoha	elephants
ekitentere	softness
ebitentere	soft tissue
ekitindiriro	the beginning
ebitindiriro	the beginning
ekiteetei	the law
ebiteetei	cattle
ekitenterezi	earthquake
ebitenterezi	earthquakes
ekitereza	a spider
ebitereza	the eyebrows
ekitiinisa	respect
ebitiinisa	honors
ekitinti	a typewriter
ebitinti	stamps
ekitiyo	the snake
ebitiyo	woodpeckers
ekyata-muzinga	the butterfly
ebyata-muzinga	the island
ekyasa	century
ebyasa	centuries
ekoona	coughing
ekiziba	a well
ebiziba	depths
ekiyengo	the swelling
ebiyengo	swelling
ekitwaro	a burden
ebitwaro	burdens
ekituzi	a pit
ebituzi	wells
ekitumbwe	toothbrush
ebitumbwe	toothbrushes
ekisige	the hedgehog
ebisige	owl
ekitooma	toothbrush
ebitooma	toothbrushes
ekitontome	poetry
ebitontome	poetry
ekyenda	nine
ebyenda	the intestines
ekyemo	temptation
ebyemo	temptations
ekyemerro	the test
ebyemerro	food
ekyemeza	proof
ebyemeza	evidence
ekyekwaso	the reason
ebyekwaso	reasons
ekyekurra	self-esteem
ebyekurra	the following
ekyegemera	flower
ebyegemera	flowers
ekyebu	the leopard
ebyebu	toothbrushes
ekyeera	the swallow
ebyeera	time and place
ekyasha	what's new
ebyasha	toys
ekyate	the spine
ebyate	offspring
ekyasa	century
ebyasa	centuries
ekyasi	left
ebyasi	firearms
ekyaro	the countryside
ebyaro	rural areas
ekyarre	what is it?
ebyarre	what to eat
ekyaraani	what?
ebyaraani	toothbrushes
ekyara	to eat
ebyara	alcoholic beverages
ekyano	food
ebyano	food
ekyanyuma	the last
ebyanyuma	past
ekyange	mine
ebyange	my own
eky'ensekuro	laughter
eby'ensekuro	comedy
ekyambu	what is it?
ebyambu	waste
ekyalinga	what it looked like
ebyalinga	what they looked like
ekyambara	clothing
ebyambara	clothing
ekyakyo	its own
ebyakyo	its
ekyokunya	to chew
ebyokunya	chewing
ekyahati/kirokinu	the yahati/kirokinu
ebyahati	toothbrushes
ekyahanyuma	the past
ebyahanyuma	the past
ekyadundu	what is it?
ebyadundu	the following paragraphs
ekyadaadi	what's the problem?
ebyadaadi	what happened
ekyabuuramuti ekooti	the coat
ebyabuuramuti ekooti	coconut tree
ekufuru	coughing
ekooko	coconut
ekondo	a spider
ekizizi	a well
ebizizi	waterfalls
embaata	wool
emanzi	water
emana	the god
emamba	number
emambo	gossip
emaaya	mother-of-pearl
edobo	flower
ekyoya	wool
ebyoya	wool
ekyoto	the altar
ebyoto	altars
ekyose	all
ebyose	all
ekyonzira	what causes it
ebyonzira	breastfeeding
ekyombo	a ship
ebyombo	ships
ekyomuziro	a snowflake
ebyomuziro	the bathroom
ekyombeko	the owl
ebyombeko	shellfish
ekyokurwanisa	what to fight
ebyokurwanisa	weapons
ekyokuhonga	a toothbrush
ebyokuhonga	coughing
ekyokujwara	what to wear
ebyokujwara	clothing
ekyokoora	what to do
ebyokoora	what you do
ekyohyo	what's that?
ebyohyo	heat
ekyeyo	what
ebyeyo	your own
ekyezigolezo	example
ebyezigolezo	examples
ekyeyamura	what did he say
ebyeyamura	the results
ekyeya	drought
ebyeya	his or her
ekyetaago	a need
ebyetaago	needs
ekyetebuko	offspring
ebyetebuko	offspring
ekyesweko	what is it?
ebyesweko	examples
ekyesomeko	to be studied
ebyesomeko	reading material
ekyesingo	collar
ebyesingo	necklaces
ekyesindiko	what is it?
ebyesindiko	the shoulders
ekyesingiso	an excuse
ebyesingiso/ekikuto/ekijumakuba	handcuffs/handcuffs/handcuffs
ekyesegenyu	what is it?
ebyesegenyu	mockery
ekyeremye	what's wrong?
ebyeremye	restrictions
ekyenyanja	the sea
ebyenyanja	fish
ekyokyezo	temptation
ebyokyezo	fire extinguishers
eraihiriza	exhaustion
eraoga	it is
ereega	what?
erinduka	change
erora/kugezesa	see/test
erabura	black
erozaroza	to rouse
esansara	coughing
esereka	laughter
esiga	a shrub
esiiga	what to expect
esiikiriza	appealing
esiitara	the owl
esimba	flower
esibiirra	what is it?
escra	scra
esenguJa	toothpick
eseemura	effervescence
esama	coughing
esagura	to buy
kwimukya obusungu	extinguish anger
kwimukya obusungu	extinguish anger
kugaita	to call
kusereka	to smile
erambira	to give
erahiirra	the oath of allegiance
esingoleza	the necklace
kufika	reaching
esoka	the squirrel
esonsogora	what is it?
esooboora	which is
esorooza	isocyanate
esungunika	heating
eta	and
etaabya	unsuccessful
etabaga	uncomfortably
etabatabika	invisible
kwepana	self-esteem
eteega	what does it mean?
eteekaniza	make preparations
etendebeka	low
kuguruka	flying
kuhiga	to teach
etiriginya	fearless
eterega	to show
kujingajinga	being overweight or obese
kujingjinga	to move around
etembeeka	weakness
kwececura	quietness
eteegura	preparing
etanga	small
etaba	uncomfortable
esweka	to hide
esuusa	to replace
esungusura	a visitation
esoroora	isocyanate
esokoora	to make
etooratoora	not picking
kwaralikira	preaching
eturumbwijura	weighing
eyahukaniza	the one who separated
eyamura	he/she/it has
kukaba	coughing
eyiba	stealing
eyiita	call
eyongosa	slowing down
eyorobya	the Yoruba language
eyunguura	scented
ezinda	old
ezinguurra	answer
eyobyo	that
eyagura	who bought
etuuma	to send
eturubika	is likely
etunguurra	the eye
etooliikn	toothpick
ebikoreso	tools
ebijwaro	clothing
ebijaburiro	food
ebiino	gums
ebihera	unfinished
ebicwanta	printing
ebicooli	toothbrushes
ebicaani	herbs
ebbeeseni	beds
ebbaibbuli	the bible
ebbahaasa	what to do
ebirengeso	obstacles
ebicwanyagurika	disruption
ebigene	size
